titel;verantwoordelijken;impressum;isbn_bindwijze
The collector of burned books;Roseanna M. White;Carol Stream, Illinois : Tyndale House Publishers;9798400501739 - gebonden
The listeners;Maggie Stiefvater;New York, NY : Viking;9798217060511 - paperback
De vliegers;"Romain Gary ; vertaald [uit het Frans] door Sanne van der Meij ; eindredactie: Marcel Van den Boogert";Gent : Borgerhoff & Lamberigts;9789493409804 - paperback
Gedeelde stilte : roman;"Lalla Romano ; vertaald uit het Italiaans door Hilda Schraa en Manon Smits";Zaandam : Uitgeverij Oevers;9789493367319 - paperback
De spiegel van ons verdriet;"Christian De Metter ; vertaling [uit het Frans]: Toon Dohmen";[Amsterdam] : Scratch;9789493166936 - gebonden
Oorlog in het koninkrijk : arts in de vuurlinie;Jan Maarten Dalmeijer;Utrecht : Stili Novi;9789491076374 - paperback
Het kaartje van Bernard;Abelike Janssens;[Almere] : Uitgeverij Merel & Mus;9789490823047 - paperback
De dolk des verraad : overleven op de snede van de Tweede Wereldoorlog;Barend Lemans;Soest : Boekscout;9789465289359 - paperback
Raisa en de kindertrein : op de lijst van Nicholas Winton;Arenda van der Maas;Soest : Boekscout;9789465285689 - paperback
De Bonnenkoningin;Angela Machiel Guépin;[Plaats van uitgave niet achterhaald] : Angela Machiel Guépin;9789465094328 - paperback
De schaduw van verzet;Arianna Saffier;Rotterdam : Brave New Books;9789465016665 - paperback
De ruil : het verhaal van Michael en zijn familie : roman ;Menno Kalmann;Soesterberg : Uitgeverij Aspekt;9789464873528 - paperback
Mysterie in Artis;Wouter Polspoel & Herman van Campenhout;Temse : Phoenix Books;9789464789577 - paperback
Invisible enemy;"Gyula Pozsgay ; vertaling [uit het Frans] Thea Gemei ; redactie Cor Hector";Breda : Dark Dragon Books;9789464609042 - gebonden
Het verzet in gevaar;"Dumanche, Otéro ; vertaling [uit het Frans] Ben Kamphuis ; redactie Cor Hector";Breda : Dark Dragon Books;9789464608427 - paperback
Het huis op de heuvel : roman;"Cesare Pavese ; vertaald uit het Italiaans door Martine Vosmaer";Amsterdam : Cossee;9789464522433 - paperback
De nacht in Lissabon : roman;"Erich Maria Remarque ; vertaald [uit het Duits] door Fréderique van Schouwen ; met een nawoord van Christoph Buchwald";Amsterdam : Cossee;9789464521160 - paperback
De garde van Esen;Peter Theunynck;Amsterdam : Horizon;9789464106107 - paperback
Een hoofd vol vlammen;Peter Schrijvers;"Antwerpen ; Amsterdam : Horizon";9789464105476
Dwangarbeiders : de oorlogsliefde van Izaak en Nina : roman;Ron Broekhart;Zwaag : Uitgeverij Ronnie B. Goode;9789464064636 - paperback
Oversteek;Aart van Dam;Barneveld : Gebr. Koster;9789463703314 - paperback
Schaduwtemmer;Rihana Jamaludin;[Zeist] : Blossom Books;9789463496537 - paperback
Laatste lente aan de Seine : roman;Jeroen Kuypers;Baarn : Uitgeverij Marmer;9789460686788 - paperback
Wevers van het verzet : roman;"Jeroen Kuypers  ; redactie: Wim Verheijen";Baarn : Uitgeverij Marmer;9789460686764 - paperback
Alias Landman : zij die mijn naam kennen, zij zitten in het verzet;Emma Nielsens;[Veendam] : Emma Nielsens;9789403825984 - paperback
Ogen van de Rigel;"Roy Jacobsen ; vertaald [uit het Noors] door Paula Stevens";Amsterdam : De Bezige Bij;9789403137032 - paperback
De Metsiers;Hugo Claus;Amsterdam : De Bezige Bij;9789403136882
De barman van het Ritz;"Philippe Collin ; vertaald [uit het Frans] door Nicolet de Jong";Amsterdam : Cargo;9789403135465 - paperback
Heim;"Caroline De Mulder ; vertaald [uit het Frans] door Lies Lavrijsen";Amsterdam : De Bezige Bij;9789403133966 - paperback
Het grote fortuin;"Olivia Manning ; met een nawoord van Rachel Cusk ; vertaald [uit het Engels] door Johannes Jonkers";Amsterdam : De Bezige Bij;9789403133690 - paperback
De onwaardigen;"Roy Jacobsen ; vertaald [uit het Noors] door Maud Jenje";Amsterdam : De Bezige Bij;9789403132686 - paperback
Lily;Marlies van Duijn-van Haaften;Apeldoorn : De Banier;9789402912104 - paperback
Het Alice netwerk;"Kate Quinn ; vertaling [uit het Engels] Arthur Wevers";Amsterdam : HarperCollins;9789402716955 - paperback
Het briefje door het hek;"Doug Gold ; vertaling [uit het Engels] Karin de Haas";Amsterdam : HarperCollins;9789402716948 - paperback
Het geheime archief van Lissabon;"Madeline Martin ; vertaling [uit het Engels] Inge Boesewinkel";Amsterdam : HarperCollins;9789402716924 - paperback
